title,research_field
Reconstructing Subject-Specific Effect Maps,Computer Science
Rotation Invariance Neural Network,Computer Science
A global sensitivity analysis and reduced order models for hydraulically-fractured horizontal wells,Computer Science
On Varieties of Ordered Automata,Computer Science
Diffraction-Aware Sound Localization for a Non-Line-of-Sight Source,Computer Science
mixup: Beyond Empirical Risk Minimization,Computer Science
Dynamic Base Station Repositioning to Improve Spectral Efficiency of Drone Small Cells,Computer Science
Deep Neural Network Optimized to Resistive Memory with Nonlinear Current-Voltage Characteristics,Computer Science
Design Decisions for Weave: A Real-Time Web-based Collaborative Visualization Framework,Computer Science
Japanese Sentiment Classification using a Tree-Structured Long Short-Term Memory with Attention,Computer Science
Spherical polyharmonics and Poisson kernels for polyharmonic functions,Mathematics
A finite element approximation for the stochastic Maxwell--Landau--Lifshitz--Gilbert system,Mathematics
On maximizing the fundamental frequency of the complement of an obstacle,Mathematics
A rank 18 Waring decomposition of $sM_{\langle 3\rangle}$ with 432 symmetries,Mathematics
Higher structure in the unstable Adams spectral sequence,Mathematics
The Knaster-Tarski theorem versus monotone nonexpansive mappings,Mathematics
"Jacob's ladders, crossbreeding in the set of $Î¶$-factorization formulas and selection of families of $Î¶$-kindred real continuous functions",Mathematics
Minimax Estimation of the $L_1$ Distance,Mathematics
Density large deviations for multidimensional stochastic hyperbolic conservation laws,Mathematics
Equality of the usual definitions of Brakke flow,Mathematics
On the rotation period and shape of the hyperbolic asteroid 1I/`Oumuamua (2017) U1 from its lightcurve,Physics
Adverse effects of polymer coating on heat transport at solid-liquid interface,Physics
"SPH calculations of Mars-scale collisions: the role of the Equation of State, material rheologies, and numerical effects",Physics
Role-separating ordering in social dilemmas controlled by topological frustration,Physics
Dynamics of exciton magnetic polarons in CdMnSe/CdMgSe quantum wells: the effect of self-localization,Physics
Direct Evidence of Spontaneous Abrikosov Vortex State in Ferromagnetic Superconductor EuFe$_2$(As$_{1-x}$P$_x$)$_2$ with $x=0.21$,Physics
The PdBI Arcsecond Whirlpool Survey (PAWS). The Role of Spiral Arms in Cloud and Star Formation,Physics
Acoustic Impedance Calculation via Numerical Solution of the Inverse Helmholtz Problem,Physics
Efficient methods for computing integrals in electronic structure calculations,Physics
Fourier-based numerical approximation of the Weertman equation for moving dislocations,Physics
$\mathcal{R}_{0}$ fails to predict the outbreak potential in the presence of natural-boosting immunity,Quantitative Biology
Deciphering noise amplification and reduction in open chemical reaction networks,Quantitative Biology
An Unsupervised Homogenization Pipeline for Clustering Similar Patients using Electronic Health Record Data,Quantitative Biology
Competing evolutionary paths in growing populations with applications to multidrug resistance,Quantitative Biology
Gene regulatory network inference: an introductory survey,Quantitative Biology
Exploration-exploitation tradeoffs dictate the optimal distributions of phenotypes for populations subject to fitness fluctuations,Quantitative Biology
Not even wrong: The spurious link between biodiversity and ecosystem functioning,Quantitative Biology
Modeling of drug diffusion in a solid tumor leading to tumor cell death,Quantitative Biology
Blockchain and human episodic memory,Quantitative Biology
Epidemic Spreading and Aging in Temporal Networks with Memory,Quantitative Biology
High Dimensional Estimation and Multi-Factor Models,Quantitative Finance
An Expanded Local Variance Gamma model,Quantitative Finance
Psychological model of the investor and manager behavior in risk,Quantitative Finance
Failure of Smooth Pasting Principle and Nonexistence of Equilibrium Stopping Rules under Time-Inconsistency,Quantitative Finance
Cryptoasset Factor Models,Quantitative Finance
Exploring the predictability of range-based volatility estimators using RNNs,Quantitative Finance
"Expropriations, Property Confiscations and New Offshore Entities: Evidence from the Panama Papers",Quantitative Finance
Affine Rough Models,Quantitative Finance
A Game of Tax Evasion: evidences from an agent-based model,Quantitative Finance
Mining Illegal Insider Trading of Stocks: A Proactive Approach,Quantitative Finance
Comparative study of Discrete Wavelet Transforms and Wavelet Tensor Train decomposition to feature extraction of FTIR data of medicinal plants,Statistics
Comparing Covariate Prioritization via Matching to Machine Learning Methods for Causal Inference using Five Empirical Applications,Statistics
"Covariances, Robustness, and Variational Bayes",Statistics
Large Scale Automated Forecasting for Monitoring Network Safety and Security,Statistics
Contextual Regression: An Accurate and Conveniently Interpretable Nonlinear Model for Mining Discovery from Scientific Data,Statistics
Deep Multiple Instance Feature Learning via Variational Autoencoder,Statistics
Internal Model from Observations for Reward Shaping,Statistics
"Accurate and Diverse Sampling of Sequences based on a ""Best of Many"" Sample Objective",Statistics
Split-and-augmented Gibbs sampler - Application to large-scale inference problems,Statistics
Spatial Regression and the Bayesian Filter,Statistics
